,model,pred_norm_gpu,true_norm_gpu,true_gpu,true_n_gpu,pred_gpu,ub_90_norm,ub_90,pred_n_gpu_90,ub_91_norm,ub_91,pred_n_gpu_91,ub_92_norm,ub_92,pred_n_gpu_92,ub_93_norm,ub_93,pred_n_gpu_93,ub_94_norm,ub_94,pred_n_gpu_94,ub_95_norm,ub_95,pred_n_gpu_95,ub_96_norm,ub_96,pred_n_gpu_96,ub_97_norm,ub_97,pred_n_gpu_97,ub_98_norm,ub_98,pred_n_gpu_98,ub_99_norm,ub_99,pred_n_gpu_99
20,LSTMQ,0.79580194,0.8225366274700748,29596379.90308595,4254,27755908.66907402,0.8355920370000001,28611164.639030535,4112,0.8355920370000001,28611164.639030535,4112,0.8355920370000001,28611164.639030535,4112,0.8355920370000001,28611164.639030535,4112,0.8355920370000001,28611164.639030535,4112,0.8355920370000001,28611164.639030535,4112,0.8355920370000001,28611164.639030535,4112,0.8355920370000001,28611164.639030535,4112,0.8355920370000001,28611164.639030535,4112,0.8355920370000001,28611164.639030535,4112
21,LSTMQ,0.7909016,0.8088072088026707,29280148.45877483,4208,27650579.822054204,0.83044668,28500569.349659722,4096,0.83044668,28500569.349659722,4096,0.83044668,28500569.349659722,4096,0.83044668,28500569.349659722,4096,0.83044668,28500569.349659722,4096,0.83044668,28500569.349659722,4096,0.83044668,28500569.349659722,4096,0.83044668,28500569.349659722,4096,0.83044668,28500569.349659722,4096,0.83044668,28500569.349659722,4096
22,LSTMQ,0.80858535,0.810643885578053,29322452.868268203,4214,28030677.73331887,0.8490146175,28899672.15648762,4153,0.8490146175,28899672.15648762,4153,0.8490146175,28899672.15648762,4153,0.8490146175,28899672.15648762,4153,0.8490146175,28899672.15648762,4153,0.8490146175,28899672.15648762,4153,0.8490146175,28899672.15648762,4153,0.8490146175,28899672.15648762,4153,0.8490146175,28899672.15648762,4153,0.8490146175,28899672.15648762,4153
23,LSTMQ,0.83484733,0.8182381300529823,29497372.06600964,4239,28595157.76406316,0.8765896965,29492376.188769132,4239,0.8765896965,29492376.188769132,4239,0.8765896965,29492376.188769132,4239,0.8765896965,29492376.188769132,4239,0.8765896965,29492376.188769132,4239,0.8765896965,29492376.188769132,4239,0.8765896965,29492376.188769132,4239,0.8765896965,29492376.188769132,4239,0.8765896965,29492376.188769132,4239,0.8765896965,29492376.188769132,4239
24,LSTMQ,0.8142637,0.8098191918269481,29303457.592332345,4211,28152729.27636996,0.854976885,29027826.276691265,4172,0.854976885,29027826.276691265,4172,0.854976885,29027826.276691265,4172,0.854976885,29027826.276691265,4172,0.854976885,29027826.276691265,4172,0.854976885,29027826.276691265,4172,0.854976885,29027826.276691265,4172,0.854976885,29027826.276691265,4172,0.854976885,29027826.276691265,4172,0.854976885,29027826.276691265,4172
25,LSTMQ,0.81956095,0.8304981245455455,29779758.076630343,4280,28266589.382990256,0.8605389975,29147379.388642583,4189,0.8605389975,29147379.388642583,4189,0.8605389975,29147379.388642583,4189,0.8605389975,29147379.388642583,4189,0.8605389975,29147379.388642583,4189,0.8605389975,29147379.388642583,4189,0.8605389975,29147379.388642583,4189,0.8605389975,29147379.388642583,4189,0.8605389975,29147379.388642583,4189,0.8605389975,29147379.388642583,4189
26,LSTMQ,0.82768697,0.81005404410447,29308866.97467545,4212,28441251.61407218,0.8690713185000001,29330774.731278602,4215,0.8690713185000001,29330774.731278602,4215,0.8690713185000001,29330774.731278602,4215,0.8690713185000001,29330774.731278602,4215,0.8690713185000001,29330774.731278602,4215,0.8690713185000001,29330774.731278602,4215,0.8690713185000001,29330774.731278602,4215,0.8690713185000001,29330774.731278602,4215,0.8690713185000001,29330774.731278602,4215,0.8690713185000001,29330774.731278602,4215
27,LSTMQ,0.8161923,0.8111142470125913,29333286.76294325,4216,28194182.974350594,0.857001915,29071352.659570932,4178,0.857001915,29071352.659570932,4178,0.857001915,29071352.659570932,4178,0.857001915,29071352.659570932,4178,0.857001915,29071352.659570932,4178,0.857001915,29071352.659570932,4178,0.857001915,29071352.659570932,4178,0.857001915,29071352.659570932,4178,0.857001915,29071352.659570932,4178,0.857001915,29071352.659570932,4178
28,LSTMQ,0.84276813,0.8041368764604945,29172576.100632258,4193,28765408.957138453,0.8849065365,29671139.941498186,4264,0.8849065365,29671139.941498186,4264,0.8849065365,29671139.941498186,4264,0.8849065365,29671139.941498186,4264,0.8849065365,29671139.941498186,4264,0.8849065365,29671139.941498186,4264,0.8849065365,29671139.941498186,4264,0.8849065365,29671139.941498186,4264,0.8849065365,29671139.941498186,4264,0.8849065365,29671139.941498186,4264
29,LSTMQ,0.8135609,0.8006300718735947,29091803.425088096,4181,28137623.158491295,0.8542389450000001,29011964.852918673,4170,0.8542389450000001,29011964.852918673,4170,0.8542389450000001,29011964.852918673,4170,0.8542389450000001,29011964.852918673,4170,0.8542389450000001,29011964.852918673,4170,0.8542389450000001,29011964.852918673,4170,0.8542389450000001,29011964.852918673,4170,0.8542389450000001,29011964.852918673,4170,0.8542389450000001,29011964.852918673,4170,0.8542389450000001,29011964.852918673,4170
