,avggpu,std,labels
119,28132036.406558502,1935159.8347093314,19318954.39243588
120,28127094.719171766,1927538.9794743378,19115816.865285568
121,28138870.665706653,1860066.2493778057,18660317.23222182
122,28135210.739679266,1844149.2011064384,18426732.79771436
123,28109000.64765282,1903058.72191987,18380502.90628084
124,28104059.25489611,1893594.160956299,18405990.172600377
125,28108994.96422506,1925510.9909043591,18272615.707828827
126,28072536.95575725,1856103.5139861312,18217365.562520545
127,28078431.56482026,1842627.3571602646,18190591.351860613
128,28081899.3480859,1713508.945799159,18572144.86099308
129,28047652.12912237,1850745.5857490841,19237105.311578315
130,28048037.5745818,1852755.347582912,19395065.199854705
131,28022935.947068125,1776583.2080592625,19092999.49352078
132,28027377.568457905,1879215.1959321126,19276841.5539237
133,28017218.41368016,1747655.092899425,18963495.918073542
134,28006207.9387663,1840890.4393115584,19108974.99440694
135,27991939.58552824,1936372.150514925,19701579.82976216
136,27988715.48296259,1749256.3099268451,19981035.57107752
137,27985165.81336393,1907571.9857863113,20071149.924870443
138,27977693.49390392,1841408.584772464,19949499.72937353
139,27964118.543935064,1902841.8073766436,20276577.30446913
140,27977500.291965235,1957429.3382153772,20183000.40576902
141,27944926.258388508,1879964.958541546,20115873.412928257
142,27939519.26175825,2065409.1222455371,20341079.18329052
143,27929788.710889865,1873286.273968108,20411666.26751977
144,27952141.412222624,1803719.9741193783,20389940.090469103
145,27917971.474043805,1820006.480779903,20554401.51849486
146,27934614.155479737,1823824.7787392158,21437070.60104665
147,27897139.326061983,2022542.009883711,21432904.66711019
148,27934055.191870168,1938071.8015755657,22183934.465299964
149,27920771.828531887,1898109.295638457,22340584.3514182
150,27907379.81376582,1845111.293660147,22457534.804475192
151,27934262.96639073,1932370.1768784001,22710462.202032056
152,27932673.53002717,1808339.592992181,22452133.16721277
153,27884554.97770566,1903264.9686824307,22615915.981276203
154,27899972.496851683,1787830.7317176703,22558820.875389177
155,27923719.928456087,1840122.2986492384,22699881.504845884
156,27877609.09406326,2047677.9211520925,22097960.920464125
157,27883097.07849986,1848580.7770793177,22019535.07997512
158,27882150.94181882,1924346.2811349202,21764357.6764268
159,27925393.426005837,1775593.547648074,21873042.34655989
160,27853341.99041437,1996491.2211246323,22512196.487512387
161,27879787.13052106,1784589.5173701309,23066774.0270554
162,27848147.396450978,1880909.065208232,23692336.586915825
163,27848787.15543747,1875377.541198397,24011235.95376424
164,27841382.733744085,1886847.1220797282,23331228.233877752
165,27852045.82361233,1919108.720090581,23845257.086310003
166,27836976.024050094,1972375.7308345325,23962731.0210552
167,27845878.50229352,1781457.7381444257,24405333.086078536
168,27826817.388489906,1899753.8610449154,24008355.801766686
169,27847544.765088305,1868581.1722489279,23740312.21452649
170,27874492.401499085,1960135.736839829,23338296.700621866
171,27835034.87028032,1808115.7909028754,22621246.751660023
172,27838652.2489868,1862601.6362024806,22638367.72725646
173,27829929.627876066,1855633.7086079065,22490766.92641527
174,27840597.42041516,1884256.7353602257,22299473.78288027
175,27863921.21618215,1775817.9665873442,23041582.985221487
